index,problematic_features
10,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
17,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
27,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
34,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
49,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
68,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
89,['⚠️  Smoker=1 reduced risk (SHAP -0.014)']
92,"['⚠️  Smoker=1 reduced risk (SHAP -0.012)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.057)']"
107,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
137,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
144,"['⚠️  Smoker=1 reduced risk (SHAP -0.012)', '⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.058)']"
156,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
160,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
170,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
176,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
217,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
237,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
243,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
249,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
266,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
285,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
289,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
309,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
315,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
406,['⚠️  Smoker=1 reduced risk (SHAP -0.012)']
420,['⚠️  HvyAlcoholConsump=1 reduced risk (SHAP -0.061)']
445,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
452,['⚠️  Smoker=1 reduced risk (SHAP -0.013)']
